program	PROGRAMA	Línea 1
{	LLAVIZQ	Línea 1
int	ENTERO	Línea 2
x	ID	Línea 2
,	COMA	Línea 2
y	ID	Línea 2
,	COMA	Línea 2
z	ID	Línea 2
,	COMA	Línea 2
suma	ID	Línea 2
;	PUNTOCOMA	Línea 2
float	FLOTANTE	Línea 3
a	ID	Línea 3
,	COMA	Línea 3
b	ID	Línea 3
,	COMA	Línea 3
c	ID	Línea 3
;	PUNTOCOMA	Línea 3
suma	ID	Línea 4
=	ASIGNACION	Línea 4
45.0	NUMERO	Línea 4
;	PUNTOCOMA	Línea 4
x	ID	Línea 5
=	ASIGNACION	Línea 5
23.0	NUMERO	Línea 5
;	PUNTOCOMA	Línea 5
y	ID	Línea 6
=	ASIGNACION	Línea 6
2.0	NUMERO	Línea 6
+	SUMA	Línea 6
3.0	NUMERO	Línea 6
-	RESTA	Línea 6
1.0	NUMERO	Línea 6
;	PUNTOCOMA	Línea 6
z	ID	Línea 7
=	ASIGNACION	Línea 7
y	ID	Línea 7
+	SUMA	Línea 7
7.0	NUMERO	Línea 7
;	PUNTOCOMA	Línea 7
y	ID	Línea 8
=	ASIGNACION	Línea 8
y	ID	Línea 8
+	SUMA	Línea 8
1.0	NUMERO	Línea 8
;	PUNTOCOMA	Línea 8
a	ID	Línea 9
=	ASIGNACION	Línea 9
24.0	NUMERO	Línea 9
+	SUMA	Línea 9
4.0	NUMERO	Línea 9
-	RESTA	Línea 9
1.0	NUMERO	Línea 9
/	DIV	Línea 9
3.0	NUMERO	Línea 9
*	MULT	Línea 9
2.0	NUMERO	Línea 9
+	SUMA	Línea 9
34.0	NUMERO	Línea 9
-	RESTA	Línea 9
1.0	NUMERO	Línea 9
;	PUNTOCOMA	Línea 9
x	ID	Línea 10
=	ASIGNACION	Línea 10
(	PARIZQ	Línea 10
5.0	NUMERO	Línea 10
-	RESTA	Línea 10
3.0	NUMERO	Línea 10
)	PARDER	Línea 10
*	MULT	Línea 10
(	PARIZQ	Línea 10
8.0	NUMERO	Línea 10
/	DIV	Línea 10
2.0	NUMERO	Línea 10
)	PARDER	Línea 10
;	PUNTOCOMA	Línea 10
y	ID	Línea 11
=	ASIGNACION	Línea 11
5.0	NUMERO	Línea 11
+	SUMA	Línea 11
3.0	NUMERO	Línea 11
-	RESTA	Línea 11
2.0	NUMERO	Línea 11
*	MULT	Línea 11
4.0	NUMERO	Línea 11
/	DIV	Línea 11
7.0	NUMERO	Línea 11
-	RESTA	Línea 11
9.0	NUMERO	Línea 11
;	PUNTOCOMA	Línea 11
z	ID	Línea 12
=	ASIGNACION	Línea 12
8.0	NUMERO	Línea 12
/	DIV	Línea 12
2.0	NUMERO	Línea 12
+	SUMA	Línea 12
15.0	NUMERO	Línea 12
*	MULT	Línea 12
4.0	NUMERO	Línea 12
;	PUNTOCOMA	Línea 12
y	ID	Línea 13
=	ASIGNACION	Línea 13
14.54	NUMERO	Línea 13
;	PUNTOCOMA	Línea 13
if	SI	Línea 14
(	PARIZQ	Línea 14
2.0	NUMERO	Línea 14
>	MAYOR	Línea 14
3.0	NUMERO	Línea 14
)	PARDER	Línea 14
then	THEN	Línea 14
{	LLAVIZQ	Línea 14
y	ID	Línea 15
=	ASIGNACION	Línea 15
a	ID	Línea 15
+	SUMA	Línea 15
b	ID	Línea 15
;	PUNTOCOMA	Línea 15
}	LLAVDER	Línea 16
else	SINO	Línea 16
{	LLAVIZQ	Línea 16
y	ID	Línea 17
=	ASIGNACION	Línea 17
9.0	NUMERO	Línea 17
;	PUNTOCOMA	Línea 17
}	LLAVDER	Línea 18
fi	FSI	Línea 18
while	MIENTRAS	Línea 19
(	PARIZQ	Línea 19
a	ID	Línea 19
<	MENOR	Línea 19
2.0	NUMERO	Línea 19
)	PARDER	Línea 19
{	LLAVIZQ	Línea 19
y	ID	Línea 20
=	ASIGNACION	Línea 20
y	ID	Línea 20
-	RESTA	Línea 20
1.0	NUMERO	Línea 20
;	PUNTOCOMA	Línea 20
}	LLAVDER	Línea 21
do	HACER	Línea 22
{	LLAVIZQ	Línea 22
y	ID	Línea 23
=	ASIGNACION	Línea 23
y	ID	Línea 23
+	SUMA	Línea 23
1.0	NUMERO	Línea 23
;	PUNTOCOMA	Línea 23
}	LLAVDER	Línea 24
until	HASTA	Línea 24
(	PARIZQ	Línea 24
y	ID	Línea 24
<	MENOR	Línea 24
10.0	NUMERO	Línea 24
)	PARDER	Línea 24
;	PUNTOCOMA	Línea 24
read	LEER	Línea 25
x	ID	Línea 25
;	PUNTOCOMA	Línea 25
write	ESCRIBIR	Línea 26
y	ID	Línea 26
;	PUNTOCOMA	Línea 26
}	LLAVDER	Línea 27
